Age,C1,C2
40-44,0.1188,0.000541374
45-49,0.1188,0.000915827
50-54,0.1188,0.001456209
55-59,0.1188,0.001622362
60-64,0.1188,0.001746941
65-69,0.1188,0.002120491
70-74,0.1188,0.002493761
75-79,0.1188,0.002991018
80+,0.1188,0.004892572
