Age,C1,C2
40-44,0.126225,0.001698797
45-49,0.126225,0.001698797
50-54,0.126225,0.002397601
55-59,0.126225,0.003195737
60-64,0.126225,0.003893669
65-69,0.126225,0.005288314
70-74,0.126225,0.006581884
75-79,0.126225,0.008370668
80+,0.126225,0.01253408
