Age,C1,C2
40-44,0.0132,0.000524803
45-49,0.0132,0.001980526
50-54,0.0132,0.00215501
55-59,0.0188,0.002561967
60-64,0.0188,0.002968687
65-69,0.0356,0.003317116
70-74,0.0356,0.003491265
75-79,0.0516,0.003897443
80+,0.0516,0.009041106
