,Unnamed: 0,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,0,0.18694638694638693,0.2768079800498753,588.1328293848594,8.100062113922174,3781,2857,8951,8.25752826484115,3.915871522832072,575.959429597189
1,1,0.19393939393939394,0.2836538461538461,599.4714864086147,8.131494714178928,3775,2861,8946,8.64005697219104,3.9272205457353335,586.9042088906892
2,2,0.1850815850815851,0.2720403022670025,587.4560616682825,7.9465126146677685,3787,2813,8937,6.682375199563247,3.3936946484903143,577.3799918202302
3,3,0.19114219114219114,0.3097560975609756,595.556985193793,8.108447475029067,3752,2852,8935,8.608793789044602,3.972332659677017,582.9758587450717
4,4,0.1836829836829837,0.27918781725888325,606.6202487741602,7.964640830408375,3786,2854,8951,7.636523221446037,3.5009462421377444,595.4827793105773
5,5,0.20093240093240092,0.3294663573085847,593.6284842838182,8.011804318194299,3767,2853,8943,7.757965552522154,3.5476355919693323,582.3228831393274
6,6,0.19347319347319347,0.27710843373493976,583.8874365469787,7.88488825863276,3739,2798,8933,6.902062617085355,3.324005003933779,573.6613689259599
7,7,0.1804195804195804,0.31007751937984496,605.322776797485,8.067270836694341,3798,2866,8960,8.103536785105527,4.089684800344256,593.1295552120359
8,8,0.19487179487179487,0.3277511961722488,589.9345401257009,7.949878116400735,3815,2884,8949,7.583566752440597,3.7427746158304434,578.6081987574307
9,9,0.1864801864801865,0.33,588.4184654111364,7.923076078518161,3775,2839,8940,7.351695246111807,3.3483414486492347,577.7184287163745
10,10,0.17902097902097902,0.3125,593.9713661485123,8.049822730005792,3786,2851,8945,7.770825578163032,3.674538008464169,582.5260025618851
11,11,0.1836829836829837,0.29949238578680204,594.0064180298042,8.135913654887153,3747,2842,8965,8.487054921393392,3.8818695372754486,581.6374935711364
12,12,0.18834498834498836,0.2995049504950495,585.2586868183845,8.015098640516188,3747,2838,8955,7.547714689569398,3.0355270215522063,574.6754451072636
13,13,0.20466200466200465,0.3189066059225513,588.3080752932185,7.912620151430764,3775,2841,8952,7.3760672217481735,3.327766931715477,577.6042411397551
14,14,0.19347319347319347,0.30843373493975906,589.3390720997268,8.075347203596914,3739,2844,8965,8.584736504897863,3.6301033056122542,577.1242322892182
15,15,0.1888111888111888,0.3160493827160494,591.2929434103443,7.934165635388008,3770,2836,8957,7.425171000604314,3.605416420807792,580.2623559889337
16,16,0.20372960372960366,0.3203661327231121,599.8729800905408,8.024810250884084,3793,2823,8944,7.604177606958759,3.6704181230370914,588.5983843605446
17,17,0.18135198135198136,0.2930591259640103,596.9017730560481,8.017863413536588,3821,2887,8929,6.929169272751813,4.097661458406584,585.8749423248904
