,rr.MI,rr.ST,c.W
140,0.93,0.905,0.073434524
150,0.8775,0.8425,0.276791667
160,0.7975,0.7475,0.779535714
170,0.7525,0.7,1.118464286
180,0.72,0.665,1.491285714
