,rr.MI,rr.ST,c.W
140,0.905,0.875,0.073434524
150,0.8425,0.7975,0.276791667
160,0.7475,0.6875,0.779535714
170,0.7,0.6375,1.118464286
180,0.665,0.61,1.491285714
