,rr.MI,rr.ST,c.W
140,0.905,0.87,0.073434524
150,0.8375,0.7875,0.276791667
160,0.7425,0.6775,0.779535714
170,0.695,0.6275,1.118464286
180,0.66,0.6,1.491285714
