,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,1.0,0.7840224809313528,350.2808404570582,1.9689375749874158,1942,979,3421,46.34445491028664,2.3096772874595746,301.6267082593119
1,1.0,0.8012846246487354,341.6964125733576,2.0055898529951453,1916,986,3451,46.06667551168103,2.10493860600232,293.5247984556744
2,1.0,0.7972701726214372,337.33629415664984,1.8649170402306305,1924,923,3400,38.85777117741079,1.8102845260845462,296.66823845315355
3,1.0,0.8065034122842232,358.06113727295303,1.9523801655803203,1938,947,3418,46.7657199154502,2.5160199149298816,308.7793974425737
4,1.0,0.7992773986350863,348.6496656354434,1.8999972568003742,1975,984,3433,40.626741415116555,2.3887341693458493,305.6341900509813
5,1.0,0.8081091930951425,345.3062743948011,1.9152381524120878,1928,951,3413,42.72246430845118,1.9748382737969918,300.60897181255336
6,1.0,0.8057005218787635,347.41683695462046,1.9018248416311385,1992,975,3429,39.30494607523812,1.9155022639867887,306.19638861539516
7,1.0,0.7984745082296266,353.7030525465284,1.92661554002212,1949,965,3426,45.93223554740819,2.443074753191755,305.3277422459308
8,1.0,0.7940586109995985,338.27505685349627,1.8949405528183816,1931,964,3407,40.06800885338933,2.3846068024251696,295.82244119768194
9,1.0,0.7928542753914091,342.13288990255535,1.905650024825779,1913,937,3389,40.147259748991615,2.4405325645362947,299.5450975890285
10,1.0,0.8008831794460056,351.4549107353112,1.934776916264792,1947,978,3429,44.33962810967227,2.266136331966862,304.8491462936732
11,1.0,0.8032918506623846,365.97713892265773,1.993072980664762,2015,994,3445,45.7649417614712,2.9382145112220774,317.2739826499656
12,1.0,0.8044961862705741,345.78170598902386,1.914939931852352,1885,927,3396,42.58209986812434,2.198635055287089,301.0009710656132
13,1.0,0.8052990766760337,344.9275366084895,1.8559833522320281,1959,952,3412,38.25411077222582,1.954453995770315,304.7189718404937
14,1.0,0.7996788438378162,345.8424115416763,1.970771196915196,1907,976,3466,45.62544712062803,2.428483945388126,297.7884804756587
15,1.0,0.8032918506623846,335.62605857484647,1.8781093521320835,1906,928,3415,39.322867646968376,2.090744472688401,294.21244645518976
16,1.0,0.8052990766760337,341.955475552519,1.9503230988843498,1945,981,3420,40.99022970863102,2.0415264755676494,298.9237193683205
17,1.0,0.8004817342432758,341.6681233861637,1.9440260783410608,1936,956,3439,41.44809139302788,2.4767867315884766,297.743245261547
18,1.0,0.7912484945804897,347.18254606378207,1.865603550522116,1945,962,3431,40.22098169949006,2.067070005117673,304.89449435917544
19,1.0,0.8044961862705741,344.93247528841476,1.9070979593492707,1942,957,3436,41.115088906584845,2.1565496798323864,301.6608367019982
20,1.0,0.7968687274187074,350.0739778037541,1.9315468560382447,1972,964,3437,43.57283070699555,2.671300068908213,303.82984702785006
21,1.0,0.8012846246487354,353.8295395313092,1.9068030204479585,1989,995,3433,40.34234824589529,2.2929769857926847,311.19421429961966
22,1.0,0.809313528703332,346.13582082170507,1.9136118345433646,1910,961,3431,41.08554820668632,2.3457581526252578,302.7045144623948
23,1.0,0.7948615014050582,342.98367242479566,1.928744399079351,1958,972,3432,42.62008163669646,2.3251427474020536,298.0384480406972
24,1.0,0.802488960256925,349.5325228332876,1.9071941881576993,1947,975,3461,44.9632254984454,2.782666517312803,301.7866308175307
25,1.0,0.7972701726214372,346.8570989826857,1.9014415677993914,1957,961,3413,41.0618317517837,2.2368247632962825,303.55844246760506
26,1.0,0.788438378161381,347.132765144851,1.954345194255622,1974,987,3451,40.54747019084254,2.260731361666507,304.32456359234106
27,1.0,0.8197511039743075,341.4586680938378,1.966918534332612,1899,989,3460,45.198102460505396,2.2818834134645107,293.9786822198673
28,1.0,0.7936571657968687,340.36566444963375,1.8919200756872216,1947,1003,3442,42.16635252213122,2.21299459738592,295.98631733011445
29,1.0,0.8052990766760337,332.72261661055956,1.8901781599389,1922,967,3434,39.24738916420785,2.0887397174460354,291.3864877289063
30,1.0,0.8057005218787635,339.19144096871975,1.850991916881049,1956,983,3417,35.96712770151594,1.7315467303679304,301.49276653683665
31,1.0,0.7956643918105178,335.87996474503535,1.8980929169339815,1901,939,3439,38.84124498988731,2.623037554309253,294.4156822008396
32,1.0,0.7900441589723003,343.0416283374082,1.8906710040703785,1953,951,3419,38.71504566026618,2.4884269693572323,301.83815570778444
33,1.0,0.8137294259333601,347.38971431048316,1.9135294381404924,1967,957,3424,40.04120078921069,2.150693825992013,305.1978196952796
34,1.0,0.8020875150541951,334.74167949342615,1.9331345856548507,1909,970,3450,40.907289939837355,2.3099253904801973,291.52446416310823
35,1.0,0.7936571657968687,333.69000057659247,1.8333959724197448,1959,973,3420,34.162215002536755,1.5044987843986453,298.0232867896576
36,1.0,0.7840224809313528,346.01492366539,1.9037658851068615,1943,965,3419,42.238360468938765,2.2897689052879375,301.4867942911639
37,1.0,0.8036932958651144,337.91621176490975,1.890104877107886,1927,971,3462,40.62666349966163,2.356045813541788,294.93350245170626
38,1.0,0.7836210357286231,347.2086273157511,1.9546865674417757,1951,987,3444,43.132692626534826,2.477110234492381,301.5988244547215
39,1.0,0.809313528703332,356.1824088969433,1.9445984441635236,1980,947,3425,45.58997181351627,2.2169545179565113,308.3754825654696
40,1.0,0.800080289040546,342.6479874983344,1.8702244071560612,1943,969,3416,38.5818616662977,2.157752249003072,301.9083735830336
41,1.0,0.7788036932958651,341.9269861753117,1.881616588396935,1943,955,3428,38.72905459162807,2.18126296318507,301.01666862049706
42,1.0,0.8028904054596547,355.4152409175727,1.9360346146528855,1992,981,3457,41.96266351276169,2.389336653292773,311.06324075151724
43,1.0,0.8032918506623846,346.33228707994584,1.939299100482369,1934,951,3448,41.39575219936965,2.1237399793846654,302.812794901191
44,1.0,0.797671617824167,343.49103105055957,1.8554345652876483,1956,958,3417,37.39773854036997,1.890872472636009,304.2024200375543
45,1.0,0.7948615014050582,341.600242133578,1.9004835897170467,1936,966,3430,40.51882680984767,2.090841751941252,298.99057357178793
46,1.0,0.797671617824167,346.3032195736157,1.9104639043456926,1971,972,3409,42.70359224793716,1.9623203480438907,301.6373069776342
47,1.0,0.7856282617422722,343.4074261852131,1.8545830700000994,1979,957,3415,36.89373777010495,2.004441278853579,304.50924713625653
48,1.0,0.8145323163388197,341.3144493298097,1.8862547727845862,1958,970,3430,37.21878609137599,2.164317217838527,301.9313460205958
49,1.0,0.7988759534323565,348.2804949184658,1.8664695751785059,1982,961,3420,37.44095082339121,2.1342111241035484,308.70533297097205
50,1.0,0.8105178643115215,334.62883464955024,1.8491764756504658,1964,966,3399,35.50781939496677,1.7050566424131195,297.41595861216996
51,1.0,0.8073063026896828,337.93501813472693,1.8844799546373072,1928,951,3424,40.267865131758505,2.1037347065248015,295.563418296443
52,1.0,0.7912484945804897,343.0408862127853,1.9450292261881514,1943,988,3448,41.670872315185846,2.4715335936758556,298.89848030392307
53,1.0,0.8081091930951425,342.8572105727544,1.8857881211702978,1922,954,3410,41.42113634411863,2.1198707138434303,299.316203514794
54,1.0,0.7940586109995985,335.32748901488173,1.8577340356023477,1930,959,3421,34.39847273625896,2.113673006012219,298.8153432726103
55,1.0,0.800080289040546,337.899614078311,1.8424416385919746,1930,925,3373,34.91379174450467,1.9468611738477364,301.0389611599593
56,1.0,0.7944600562023284,348.77969391975523,1.8848681025360006,1979,1006,3469,37.080513651708046,1.688965780698049,310.01021448734804
57,1.0,0.7980730630268968,344.39780738273885,1.9062590775989978,1965,954,3426,40.22786991506291,2.14194311842337,302.0279943492524
58,1.0,0.7880369329586512,340.65698277210834,1.905646516609184,1934,963,3422,37.30882535393087,2.5718055384140976,300.7763518797637
59,1.0,0.7844239261340827,336.81219962271126,1.837423427558264,1930,940,3397,34.64712873297246,1.884782561458698,300.28028832828096
60,1.0,0.8028904054596547,334.8832036687875,1.8712486169436984,1932,967,3424,37.061832897292774,2.065022940303325,295.7563478311934
61,1.0,0.7964672822159775,340.0446632946292,1.8969434893677293,1961,965,3430,38.809142851185506,1.927951787140133,299.3075686563037
62,1.0,0.7924528301886793,351.377673741776,1.9302082611615796,1968,975,3459,40.23652064369086,2.2659589606704045,308.8751941374133
63,1.0,0.7904456041750301,341.5837020339888,1.8358581228708162,1968,957,3430,33.15432083122078,1.3678951851443153,307.061486017625
64,1.0,0.809313528703332,355.0568646726886,2.007324841410063,1978,979,3431,44.05365929128424,2.3974603294827967,308.6057450519206
65,1.0,0.802488960256925,328.20515220617074,1.8670760289573574,1886,933,3411,38.27252583713632,1.5827226600828743,288.34990370895036
66,1.0,0.7952629466077881,357.52120513141097,2.0006045745019354,1964,975,3452,44.72164442540453,2.374658935048644,310.4249017709587
67,1.0,0.8065034122842232,345.497887099325,1.944809543678725,1941,960,3406,45.13114313522471,2.3533914502672912,298.0133525138337
68,1.0,0.8109193095142513,336.11442143953803,1.8699682446757233,1923,942,3390,37.24044725205262,2.2372406570883645,296.6367335303975
69,1.0,0.8020875150541951,354.9892271072146,1.9783431106667753,1990,987,3451,42.97038140569795,2.5035249145738048,309.51532078694083
70,1.0,0.8036932958651144,351.4574971374058,1.9408291250542486,1946,970,3447,43.559375480784304,1.8683667898812284,306.0297548667379
71,1.0,0.7864311521477318,338.4501337909256,1.909547360552861,1954,991,3435,38.75216820958753,2.2900852528427493,297.4078803284947
72,1.0,0.7960658370132477,344.31943368460935,1.9344071207577744,1954,976,3429,41.43331380005202,2.236309752626092,300.6498101319305
73,1.0,0.7916499397832196,344.62168675200326,1.9025185423412296,1969,962,3430,42.706854797366304,2.2854554053199405,299.62937654931727
74,1.0,0.8032918506623846,346.4512989230791,1.9401659358148686,1978,942,3418,41.873564211683465,2.3169754009390244,302.2607593104566
75,1.0,0.797671617824167,341.1859637035212,1.8855617653732553,1933,945,3426,38.22683857013671,2.383250146003341,300.5758749873841
76,1.0,0.8032918506623846,345.7395238644818,1.9741100018099116,1957,981,3465,43.37768420801831,1.8245903018091483,300.5372493546543
77,1.0,0.7956643918105178,337.8177576623672,1.9355035208204594,1941,984,3456,40.63954959252641,1.9291462906657317,295.24906177917484
78,1.0,0.7968687274187074,344.39920502872343,1.9396394441453197,1960,973,3446,40.456421548267755,2.127087050693677,301.81569642976314
79,1.0,0.800080289040546,322.78764953138295,1.8766637803964688,1936,941,3402,29.282205602474754,1.8795805526902885,291.6258633762178
80,1.0,0.8020875150541951,347.29662510649155,1.9820430616039348,1918,922,3404,46.919126815023326,2.0849568983715687,298.29254139309677
81,1.0,0.8032918506623846,335.42942639983846,1.8898842765329895,1922,941,3417,35.98640491276292,1.982391177107995,297.46063030996714
82,1.0,0.8069048574869531,337.4761810952634,1.9918272602244704,1924,959,3457,43.40492194240956,2.326492975586098,291.74476617726697
83,1.0,0.8036932958651144,344.29395396586165,1.9857862502697905,1923,956,3432,43.38113012378214,2.4143358459750783,298.498487996105
84,1.0,0.8040947410678443,337.8816729906049,1.9340031743511361,1900,962,3446,39.81827050196308,2.1633718780550293,295.90003061058644
85,1.0,0.7936571657968687,341.8527377263574,1.8866048624782799,1937,971,3429,41.27651247236652,1.7581178370487762,298.8181074169408
86,1.0,0.8040947410678443,343.64990536553273,1.9152321724486874,1966,969,3460,38.06737328478292,1.857173179448292,303.72535890129996
87,1.0,0.802488960256925,359.674855670838,1.928189921747651,1993,982,3459,41.628391989876945,2.2058355666199683,315.84062811434086
88,1.0,0.8129265355279004,345.09196379170834,1.9015406108201436,1972,964,3451,40.92757130814136,2.0207658585101984,302.1436266250568
89,1.0,0.8081091930951425,331.69446834797617,1.8806023765492152,1909,937,3429,34.972998587828876,1.5892873428611025,295.13218241728686
90,1.0,0.7868325973504616,349.43996051097145,1.9053480268953142,1946,955,3422,39.67255517775457,2.3168143089912427,307.4505910242254
91,1.0,0.8028904054596547,336.53996233785574,1.931503048029912,1930,976,3452,38.52336395711784,2.0700140897011674,295.9465842910348
92,1.0,0.8028904054596547,347.959898608826,1.9307223936760962,1952,972,3478,41.72867920894026,2.205329384322616,304.02589001556333
93,1.0,0.786029706945002,356.66670562846065,1.979079584017678,1986,1004,3485,45.80045928782588,2.370594826501532,308.4956515141333
94,1.0,0.7964672822159775,337.91142012968123,1.9212516159459199,1902,943,3424,42.72785961840731,1.9386176941418938,293.24494281713146
95,1.0,0.7876354877559213,338.63972813095745,1.8951493772266,1919,958,3443,38.35125132619338,2.265359939902294,298.0231168648611
96,1.0,0.7848253713368125,343.54881086383136,1.9195295072642196,1921,950,3415,39.55625887184627,1.7645507225283568,302.22800126945805
97,1.0,0.7936571657968687,341.7789878134861,1.8658035147077607,1970,972,3443,34.36695727634859,1.8652026001955437,305.54682793694053
98,1.0,0.7996788438378162,346.31713624245737,1.9256955833865737,1989,963,3425,41.47102965468821,2.155436651798041,302.6906699359718
99,1.0,0.8077077478924127,337.0793967003948,1.8754843646308765,1920,943,3427,40.03070671838293,1.5257466819645715,295.5229433000479
100,1.0,0.8040947410678443,344.2178396929296,1.8699279463714942,1972,976,3445,34.53444282088339,2.045795042796042,307.6376018292498
101,1.0,0.802488960256925,352.1816046544971,2.037696398318499,1927,950,3458,49.29843293407048,2.5750380866955913,300.30813363372863
102,1.0,0.8061019670814934,356.4068182645123,1.9843731443233688,1986,983,3462,45.26344765105519,2.284017279981433,308.85935333347624
103,1.0,0.7920513849859494,330.09284418261444,1.8965546135776332,1946,952,3419,35.96797196580907,1.6710181292641284,292.4538540875422
104,1.0,0.7956643918105178,336.0908179165503,1.9189045084155771,1904,935,3434,38.66011090313736,1.7648024120199362,295.6659046013927
105,1.0,0.7896427137695704,330.580621499945,1.914025018078481,1919,932,3407,39.30321733530155,2.1720290678227134,289.1053750968197
106,1.0,0.79084704937776,352.5234400748751,2.05573799406563,1969,979,3444,47.00595376524841,2.275975742402793,303.24151056722513
107,1.0,0.7912484945804897,346.49537971796246,1.9536163480797455,1942,990,3455,41.14897916850089,1.9606690736353498,303.38573147582616
108,1.0,0.8061019670814934,332.87547226369264,1.8686537677796624,1921,957,3415,37.235763639043455,2.071597490364277,293.56811113428523
109,1.0,0.7932557205941388,342.98530375653775,1.8698025133872405,1946,941,3417,39.6957116514984,2.190315802756929,301.0992763022824
110,1.0,0.7928542753914091,356.60513137839473,1.9532844786289798,2002,986,3458,41.80330759399699,2.6437294098301143,312.15809437456664
111,1.0,0.7920513849859494,341.49152749587546,1.8468050371864788,1947,952,3402,36.56092051547604,1.979050697189629,302.9515562832125
112,1.0,0.7964672822159775,344.34725533767846,2.0002031240091913,1951,957,3429,45.29064587239852,2.0465222345895926,297.0100872306888
113,1.0,0.8020875150541951,340.5574861544141,1.8920086254140205,1923,943,3444,39.84326313802788,2.2818658404956187,298.4323571758913
114,1.0,0.8157366519470093,340.92594217234455,1.9028121033807,1955,955,3428,40.07987734149816,2.069442291578666,298.77662253926877
115,1.0,0.7832195905258932,345.880351275266,1.9504976688255673,1953,971,3433,42.09708075314291,2.335018770149238,301.4482517519741
116,1.0,0.7964672822159775,336.41350499632654,1.8748731307223805,1958,945,3433,35.747361348697,1.4078188880135298,299.25832475961755
117,1.0,0.8048976314733038,339.87555203541245,1.8543269802251,1942,945,3431,34.169103786917155,1.9968042718577883,303.709643976638
118,1.0,0.7920513849859494,335.49167079845955,1.9220215409128767,1899,962,3453,40.12878759321833,2.27681519476288,293.0860680104791
119,1.0,0.7996788438378162,342.06265939455557,1.8950166793422554,1941,957,3442,40.15483412914402,1.849158799378869,300.058666466032
120,1.0,0.7968687274187074,337.6224217957851,1.9043540790637963,1925,975,3455,40.99516596859134,2.014233192676291,294.6130226345164
121,1.0,0.8036932958651144,344.35527160159165,1.9107624541820436,1934,942,3428,39.59949290626373,2.2652558005222936,302.49052289480426
122,1.0,0.7888398233641108,334.2698247055633,1.9425410120262725,1899,929,3429,42.10981500445118,2.313331918559492,289.84667778255204
123,1.0,0.8069048574869531,333.31809889840883,1.862552384285827,1945,949,3415,37.45556360743897,1.9739354100635431,293.8885998809066
124,1.0,0.7952629466077881,349.76092560121964,1.943746706963956,1974,976,3431,41.48599900560433,2.2720175889928886,306.0029090066227
125,1.0,0.7960658370132477,346.9201580241034,1.8990967665262282,1973,995,3448,38.114260862513866,2.146219946398439,306.65967721519047
126,1.0,0.8028904054596547,337.753229849515,1.876629264188604,1950,957,3428,38.47579917591651,1.9164900425075981,297.36094063109107
127,1.0,0.8145323163388197,335.7499173256303,1.897549105364746,1908,964,3437,38.78868923829964,1.600242471594331,295.36098561573715
128,1.0,0.7984745082296266,332.2182496813721,1.9060597546174896,1893,942,3448,39.17279734431363,2.350986294878544,290.69446604217904
129,1.0,0.7780008028904054,336.6855190292631,1.8692470940246968,1968,979,3457,34.58413122637779,1.7714424234847699,300.3299453793998
130,1.0,0.7988759534323565,345.8832556418104,1.8752676901988916,1950,921,3398,39.16428915416371,1.969806638677232,304.74915984897063
131,1.0,0.7984745082296266,344.689972240835,1.9381670878556712,1930,937,3449,41.87058713549823,2.1218010406293852,300.69758406470623
