,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,1.0,0.3841830590124448,359.45146469775267,2.0051646681558144,2058,1032,3469,34.04127641477375,2.453373940716031,322.95681434226356
1,1.0,0.3934162986752308,350.5751800120376,2.0442265332936183,2030,1041,3500,34.00160092440892,2.122735019073049,314.4508440685554
2,1.0,0.4058610999598555,347.8349859923375,1.9078909792948693,2040,985,3450,28.520273900028908,1.9125654693777623,317.40214662292954
3,1.0,0.40867121637896425,358.1973829320338,1.9880117637180486,2025,991,3462,35.33344636341666,2.508186772964961,320.3557497956524
4,1.0,0.3934162986752308,357.30879540348786,1.934999520743825,2088,1041,3479,29.54618220645472,2.349044840934743,325.41356835609895
5,1.0,0.42593336009634686,353.2644474174152,1.953123327991279,2025,1017,3461,32.14519014366101,2.2766077208139137,318.8426495529409
6,1.0,0.4191087916499398,353.27366204955024,1.9365596470531827,2088,1030,3478,29.03343405791542,2.038638970755861,322.2015890208782
7,1.0,0.40104375752709753,356.63187143155216,1.9636530528075697,2052,1027,3477,34.281107261813865,2.310385127682579,320.0403790420567
8,1.0,0.38940184664793254,344.4468082500157,1.9289592183886153,2030,1025,3458,29.599308655175232,2.4132274575338015,312.4342721373075
9,1.0,0.40224809313528703,347.6692491249622,1.9394110167728296,2024,993,3429,29.396009770900218,2.3121431860005535,315.96109616806166
10,1.0,0.4006423123243677,361.85557979349437,1.9831929129420167,2068,1038,3488,32.606835143841735,2.4950766176617254,326.75366803199097
11,1.0,0.41107988759534325,371.22770010634946,2.0344863455720255,2119,1039,3487,34.648175470706065,2.7831719278236653,333.7963527078216
12,1.0,0.4002408671216379,353.88490708443715,1.9511897538788678,2000,979,3443,31.32862602423334,2.1629084568842423,320.3933726033196
13,1.0,0.4223203532717784,351.3983128699728,1.8885537432821735,2060,1013,3466,28.13061702184796,1.9362812219672652,321.33141462615794
14,1.0,0.40104375752709753,352.9578928923903,2.0152033427522418,2020,1046,3519,33.71687155702286,2.4019101393663966,316.83911119599946
15,1.0,0.40545965475712564,343.5731906461073,1.9109364297883484,2013,984,3460,29.10876074831589,2.1271771646383746,312.3372527331537
16,1.0,0.39823364110798876,345.1696685945325,1.9878250754049187,2044,1033,3467,30.18958604798826,2.151515705626342,312.828566840918
17,1.0,0.40867121637896425,349.322751555448,1.9777358765575133,2031,1010,3483,31.59751990044723,2.5302678587263308,315.194963796275
18,1.0,0.393014853472501,356.6209000839438,1.8917087978447695,2053,1003,3472,29.102528507271895,2.1820598113452747,325.3363117653278
19,1.0,0.3978321959052589,352.0106376712482,1.9382931157029921,2038,1003,3475,30.299255297143272,2.2661145313817803,319.4452678427234
20,1.0,0.4146928944199117,356.55078297761105,1.9780637786626902,2080,1032,3494,31.96771505247009,2.7892806033274655,321.79378732181283
21,1.0,0.39823364110798876,359.74462474213965,1.9478722721472057,2108,1057,3489,29.636936918764096,2.2602622860026016,327.84742553737317
22,1.0,0.4018466479325572,355.9985679887524,1.9427163382744412,2022,1014,3476,30.746569251447124,2.5127024894933583,322.73929624781266
23,1.0,0.40104375752709753,352.87096857974905,1.9710010272555785,2066,1038,3484,30.81994032004769,2.5250793481396894,319.52594891156167
24,1.0,0.3986350863107186,358.68113888055046,1.945196747440236,2063,1038,3510,33.44007076998307,2.9562821700815785,322.2847859404867
25,1.0,0.38659173022882376,355.0596198561375,1.9384053790562734,2067,1014,3458,30.105081821016313,2.288690445685111,322.6658475894354
26,1.0,0.383781613809715,351.75803453351483,1.9896430125647284,2069,1040,3488,30.010098830944088,2.2356416718616203,319.51229403070874
27,1.0,0.4082697711762344,347.4920896996751,2.008707936835393,2013,1052,3517,33.19284119787329,2.3232405219203343,311.97600797988184
28,1.0,0.3881975110397431,348.0036699402281,1.9231431380469546,2060,1044,3483,30.506525252283513,2.2541304807981204,315.2430142071451
29,1.0,0.38659173022882376,340.3209090730106,1.924562377348544,2019,1030,3485,29.127922807344618,2.1631120305704954,309.02987423509506
30,1.0,0.3978321959052589,348.71913835172006,1.8811196458491823,2049,1027,3458,26.051470880420982,1.8755874632341705,320.79208000806597
31,1.0,0.40385387394620637,341.74850861557786,1.9257995143067501,1994,992,3482,28.63191604792033,2.792856331252071,310.32373623640484
32,1.0,0.4062625451625853,346.9324443750737,1.9160683768931803,2035,995,3449,28.292579063565057,2.6749112788350713,315.96495403267363
33,1.0,0.4114813327980731,356.03255997205036,1.9550991130997653,2074,1021,3483,30.43942394337137,2.278932303724842,323.3142037249541
34,1.0,0.3873946206342834,337.55640906926345,1.964537560634143,2008,1026,3496,29.862061739331917,2.3281121677599548,305.3662351621711
35,1.0,0.3946206342834203,346.42367076498533,1.8687489328627618,2079,1029,3470,24.39843900067481,1.7506173313728526,320.27461443293885
36,1.0,0.3809714973906062,351.2930483893959,1.9391213263522762,2045,1024,3464,30.038088026691664,2.3251769559524114,318.9297834067518
37,1.0,0.3974307507025291,346.7051402305767,1.9211329422998795,2045,1035,3516,29.602860137818713,2.385085172734118,314.7171949200227
38,1.0,0.3869931754315536,354.34804105440116,1.9920275099840175,2059,1037,3483,32.141255446431174,2.609206172236935,319.59757943573123
39,1.0,0.4030509835407467,362.53816037860753,1.983456864166947,2089,1006,3470,34.185251402915185,2.246234357161062,326.10667461853023
40,1.0,0.3841830590124448,348.42669796370814,1.898462387436215,2050,1018,3460,28.38350838225429,2.3707483954924724,317.67244118596085
41,1.0,0.3946206342834203,346.9667883458251,1.9128706163736178,2041,1008,3475,28.77643752217376,2.2188927015300046,315.9714581221212
42,1.0,0.40104375752709753,358.63550168645236,1.9676215444494558,2083,1028,3492,31.031535528891197,2.3158837128314205,325.28808244472907
43,1.0,0.4006423123243677,352.34979079200355,1.9689371048807025,2038,1001,3484,30.44569970320921,2.3120721116628196,319.59201897713126
44,1.0,0.3990365315134484,349.13798564002514,1.8815418506982169,2054,1008,3460,27.078942236768075,2.011782713160651,320.0472606900969
45,1.0,0.39823364110798876,345.1398675473134,1.9449517234343845,2034,1019,3477,29.61258630695264,2.2161990746104845,313.31108216574967
46,1.0,0.40385387394620637,352.9941462076721,1.9466411219667046,2084,1024,3450,31.70589283794649,2.0086863683477465,319.2795670013776
47,1.0,0.40264953833801687,350.01177681858036,1.8862360467315786,2083,1014,3458,27.28262215003563,2.0966156498465,320.6325390186981
48,1.0,0.40987555198715375,350.53054057800955,1.920832753268965,2060,1014,3472,27.681947055000634,2.3486496479975276,320.49994387501187
49,1.0,0.3974307507025291,356.6464791949816,1.8966836962880855,2089,1013,3466,27.418656340112474,2.0109788790045204,327.21684397586546
50,1.0,0.40545965475712564,348.60766728495605,1.8810508816615144,2094,1008,3440,26.01164628147651,1.8472627346424746,320.74875826883647
51,1.0,0.404656764351666,345.70628653492787,1.9192076714483874,2030,1008,3478,29.574564006259966,2.145742886658524,313.98597964200866
52,1.0,0.3934162986752308,346.06602640549283,1.9822674390435613,2029,1038,3492,30.509541868416996,2.7508781970479816,312.8056063400275
53,1.0,0.3978321959052589,353.12662681117956,1.9170349933230257,2033,1002,3454,30.6143142871668,2.1737994997122643,320.3385130243016
54,1.0,0.3990365315134484,342.55705300036794,1.888766846622244,2031,1010,3464,25.169780827503207,2.222833731076811,315.16443844178815
55,1.0,0.3974307507025291,347.0681255914076,1.8711032845267583,2043,978,3417,25.225396130434625,2.0793356122905537,319.7633938486826
56,1.0,0.404656764351666,352.96131615231155,1.912883707642055,2072,1053,3507,26.731224154135656,1.7191551085443784,324.51093688963107
57,1.0,0.41268566840626253,353.2409334936953,1.9383828147364728,2067,1009,3474,29.865951715307965,2.2047281144207878,321.1702536639664
58,1.0,0.4018466479325572,346.6098626645792,1.9480032808822465,2034,1016,3474,28.088676149409174,2.7793930253958776,315.74179348977367
