,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,1.0,1.0,410.6953507301483,2.473314689678764,2274,1206,4078,40.135394263879675,2.5379230909384782,368.02203337532933
1,1.0,1.0,416.0315212225457,2.500851627304769,2307,1214,4047,39.35137545228339,2.470082557164063,374.2100632130976
2,1.0,1.0,404.07371391210444,2.393343611779836,2304,1225,4090,32.68632870907736,2.197677024082598,369.1897081789437
3,1.0,1.0,417.6193001683981,2.4924897372012316,2297,1214,4087,39.96623268848134,2.6220661963240097,375.03100128359324
4,1.0,1.0,419.1975359236969,2.390286456220503,2343,1222,4058,34.53866248246453,2.291309352874792,382.36756408835765
5,1.0,1.0,399.01707764040924,2.4246170213877276,2269,1184,4064,35.52473637113368,2.3760397020433706,361.1163015672335
6,1.0,1.0,403.50853795887224,2.356356551199378,2292,1190,4050,33.14641015020289,2.052694187042393,368.3094336216261
7,1.0,1.0,416.2985107992506,2.4504531480237173,2294,1199,4051,39.43672058320845,2.801980106123652,374.05981010992053
8,1.0,1.0,404.5739455639877,2.3870237473784677,2310,1231,4068,34.20697539991744,2.5633782180836504,367.80359194598697
9,1.0,1.0,403.301798737046,2.376565660543573,2288,1196,4008,34.13930872249769,2.038699140432141,367.12379087411733
10,1.0,1.0,411.7445354273585,2.445652830104519,2302,1228,4075,38.34794505835517,2.563802073920812,370.83278829508316
11,1.0,1.0,411.79159977739715,2.5012835446087527,2291,1215,4068,39.57713985169981,2.597421344377555,369.61703858132176
12,1.0,1.0,405.0775519036053,2.4292925488179407,2297,1199,4048,35.41582680633396,2.266117834551095,367.39560726271964
13,1.0,1.0,396.07304416450484,2.3672841615025733,2297,1203,4056,31.99726416173927,2.1901936628072574,361.88558633995865
14,1.0,1.0,408.2005210063333,2.4624621023550026,2256,1191,4054,38.85983029977623,2.355776804228464,366.98491390232715
15,1.0,1.0,401.1767109324664,2.3854461932792637,2306,1219,4057,33.37050222027785,2.4255861506414917,365.38062256154865
16,1.0,1.0,412.80216161694506,2.4273513331066106,2309,1202,4046,34.22295523687524,2.599321438241833,375.97988494182823
17,1.0,1.0,407.4221701523884,2.4446362882078905,2316,1225,4051,34.80203643671598,2.6256044970338985,369.99452921863974
18,1.0,1.0,400.04859409459334,2.3708748782814872,2295,1215,4063,34.594722259674626,1.9918298377142687,363.4620419972067
19,1.0,1.0,403.9994245061555,2.387368518623545,2274,1209,4071,35.575460623287356,2.236333345479614,366.18763053738775
20,1.0,1.0,402.0409196203933,2.435976818093645,2286,1201,4062,36.79940691117103,2.0606448320644772,363.180867877158
21,1.0,1.0,404.27335089533204,2.3973369376917626,2300,1223,4073,34.141691058054235,2.100761804084417,368.03089803319176
