,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,1.0,1.0,347.13182334084587,1.953552643069522,1890,953,3404,52.273220811382636,2.279308377518358,292.5792941519448
1,1.0,1.0,339.8409012357819,1.9855485866185203,1871,960,3426,51.585396558970714,2.009446367798056,286.2460583090134
2,1.0,1.0,334.53538862765686,1.8482516870479084,1874,896,3372,44.439899537599196,1.9551754631777707,288.1403136268788
3,1.0,1.0,354.86521844030125,1.938975627593505,1900,930,3400,52.22521772276191,2.4337694198279056,300.2062312977124
4,1.0,1.0,343.86234299293807,1.8774655902695014,1914,950,3402,45.916086497410944,2.3655708178145893,295.5806856777127
5,1.0,1.0,343.597470816762,1.9000225093600027,1881,929,3395,47.612004261220875,1.9612200681226186,294.024246487419
6,1.0,1.0,342.96763373608684,1.8839174342099938,1936,945,3408,44.6787863722816,1.8054864257793746,296.48336093802567
7,1.0,1.0,352.8801088605755,1.9149877396019632,1910,942,3411,51.579527857559114,2.259638217527283,299.0409427854913
8,1.0,1.0,334.9280163412745,1.8743894318803407,1874,929,3376,45.80160099420361,2.429480884932269,286.6969344621389
9,1.0,1.0,338.3757193745922,1.8916869358086361,1862,918,3369,45.89747873166267,2.41275884543097,290.0654817974997
10,1.0,1.0,349.90902007787605,1.9203521294565329,1901,952,3409,50.21382771201453,2.3167810221530463,297.37841134371
11,1.0,1.0,362.03009673655606,1.9689465327605986,1958,956,3412,51.841399974350615,2.9109800593220063,307.2777167028847
12,1.0,1.0,343.80004958910456,1.8985312843182829,1840,901,3371,47.922783386365,1.9484384428995671,293.9288277598406
13,1.0,1.0,340.0388443153452,1.835005301202281,1901,925,3384,43.24459396350779,1.9248407339945486,294.86940961784313
14,1.0,1.0,345.0443724363855,1.9480514015766357,1857,935,3428,51.1742913487092,2.4148840136360437,291.45519707403895
15,1.0,1.0,331.6995036417592,1.8617681081410093,1856,911,3392,44.691044958459,2.0716944821121004,284.9367642011879
16,1.0,1.0,337.38326608188265,1.9325822144053801,1888,957,3400,46.0874196534852,2.0924038182651055,289.20344261013224
17,1.0,1.0,340.18088401231915,1.9268395937474554,1890,929,3411,46.98571343907038,2.321310402465985,290.87386017078217
18,1.0,1.0,346.18175663434334,1.8487041090379195,1898,936,3407,45.95968372513303,1.9901702862653743,298.23190262294617
19,1.0,1.0,341.4042580301985,1.8928056653097471,1895,935,3416,46.026682140549354,1.9950083361100739,293.38256755354007
20,1.0,1.0,347.824374721795,1.9163321296564613,1925,936,3413,48.97872562442348,2.5762939025983034,296.2693551947729
21,1.0,1.0,349.9714578713315,1.8960443342044524,1947,973,3415,45.65351647291297,2.27705664436497,302.0408847540517
22,1.0,1.0,343.28555315947864,1.8990305920670187,1869,943,3413,45.58429032261784,2.2210351225829634,295.4802277142791
23,1.0,1.0,340.22898590261906,1.9139802772873595,1905,949,3416,48.32121126648525,2.3095960627825476,289.59817857335037
24,1.0,1.0,348.0155271917186,1.893131963014822,1900,952,3437,50.45325327321332,2.7671767773469624,294.7950971411603
25,1.0,1.0,343.0707779030032,1.8846740227207728,1909,929,3388,46.59093609301007,2.1802568305542627,294.2995849794378
26,1.0,1.0,340.47991927828025,1.9360965069468445,1910,961,3428,46.28189518535291,2.124106829053352,292.07391726387283
27,1.0,1.0,339.41622614363786,1.9527049464248238,1863,967,3440,50.25099826844712,2.262434291925977,286.9027935832647
28,1.0,1.0,335.8981736647878,1.8740732519126266,1890,961,3412,47.649327580514736,2.025759218773839,286.22308686549655
