,rr.MI,rr.ST,c.W
140,0.945,0.945,0.451904762
150,0.9025,0.9025,1.268809524
160,0.8325,0.8325,4.240952381
170,0.7925,0.7925,7.821428571
180,0.765,0.765,10.42857143
