,rr.MI,rr.ST,c.W
140,0.905,0.87,0.451904762
150,0.8375,0.7875,1.268809524
160,0.7425,0.6775,4.240952381
170,0.695,0.6275,7.821428571
180,0.66,0.6,10.42857143
