,rr.MI,rr.ST,c.W
140,0.93,0.905,0.451904762
150,0.8775,0.8425,1.268809524
160,0.7975,0.7475,4.240952381
170,0.7525,0.7,7.821428571
180,0.72,0.665,10.42857143
