,rr.MI,rr.ST,c.W
140,0.905,0.875,0.451904762
150,0.8425,0.7975,1.268809524
160,0.7475,0.6875,4.240952381
170,0.7,0.6375,7.821428571
180,0.665,0.61,10.42857143
