,Unnamed: 0,Coverage,Compliance,Average Cost,Average DALYs,CVD Count,CVD Deaths,Total Deaths,Average HTN Cost,Average CVD Cost,Average Chronic Cost
0,0,0.6890442890442889,0.6921515561569689,602.3530883781979,2.5180507875814357,2387,1266,4126,21.469573522286073,4.0640033438265375,576.8195115120852
1,1,0.7118881118881119,0.6981008513425017,609.3489933206698,2.5469636113530654,2425,1277,4091,21.953150955767093,4.183402742197233,583.2124396227058
2,2,0.6993006993006993,0.6873333333333334,606.1532595647966,2.42989007061705,2438,1296,4144,17.312098876695444,3.660010452843855,585.1811502352559
3,3,0.7114219114219115,0.7110091743119266,612.3311827725473,2.5384743199170408,2407,1278,4137,22.447846255336977,4.1102717158428685,585.7730648013697
4,4,0.6876456876456877,0.7064406779661017,621.4201000740004,2.4272220125066193,2474,1283,4108,18.538823730584102,3.838965279588061,599.0423110638263
5,5,0.7081585081585081,0.7077024358130349,595.1223753660026,2.4658833032964127,2393,1253,4114,20.07973938181128,3.8432268667815057,571.1994091174123
6,6,0.7090909090909091,0.7001972386587771,598.9340879014777,2.3885155928630337,2400,1249,4094,18.10389948320548,3.4852417723914684,577.3449466458823
7,7,0.6913752913752914,0.698583951449764,615.5415217607849,2.500543525259156,2431,1274,4115,21.534722945021397,4.3554289630385306,589.6513698527225
8,8,0.6974358974358974,0.7018716577540107,602.7057508977798,2.4253680140991283,2428,1293,4112,18.79544368643133,3.967649619050471,579.9426575922989
9,9,0.6932400932400933,0.6940147948890383,597.4203516517695,2.415644519771577,2409,1272,4066,18.54876353503355,3.4956827823720587,575.3759053343648
10,10,0.6895104895104895,0.718052738336714,603.3124673652591,2.48545280856792,2404,1294,4131,21.36193627843359,4.1835970445575255,577.7669340422674
11,11,0.7034965034965035,0.6792577866136514,607.7573204937825,2.5389194469137712,2399,1274,4109,22.12199251712852,4.0949703952992085,581.5403575813557
12,12,0.7072261072261072,0.7139090309822017,602.0619752814836,2.471800837499832,2411,1253,4097,19.681945500395692,3.6418979151074353,578.738131865981
13,13,0.710955710955711,0.7009836065573771,597.4461758035918,2.4106128791859485,2425,1280,4121,18.13342817364001,3.5801373288336755,575.7326103011188
14,14,0.7095571095571096,0.6964520367936925,598.5809536587215,2.5015734645693257,2377,1250,4103,21.550312178173307,3.8156891428543482,573.2149523376943
15,15,0.7086247086247086,0.6888157894736842,599.1512162395643,2.4265532950767064,2422,1273,4104,18.862173384683462,3.7703462423983187,576.5186966124849
16,16,0.7212121212121212,0.6858435681965094,609.4773109265495,2.4694527125350683,2415,1270,4107,19.041714555365797,3.979473722616557,586.4561226485653
17,17,0.6885780885780886,0.6838185511171293,603.7880680671374,2.4820918042967395,2449,1288,4091,18.73942111473142,4.196817255767794,580.8518296966382
18,18,0.6745920745920746,0.7021423635107118,590.5207882250654,2.4115553806993817,2398,1281,4116,18.728225678245234,3.4619189575430864,568.3306435892763
19,19,0.6951048951048951,0.676056338028169,606.0652380372902,2.427443885701958,2408,1269,4117,19.14151458583294,3.750823465268311,583.1728999861888
20,20,0.703030303030303,0.713527851458886,593.4181627444232,2.477262924316311,2392,1272,4121,20.393907573840377,3.387301785153575,569.636953385429
21,21,0.7039627039627041,0.7072847682119205,599.256080782532,2.435755292866264,2413,1283,4124,18.926134068227128,3.564288576058501,576.7656581382448
22,22,0.7165501165501166,0.6916070266753416,595.6666735315358,2.4539375760817994,2395,1256,4103,19.040471749914943,3.917027287663057,572.7091744939565
23,23,0.7081585081585081,0.7011191573403555,602.3018486832067,2.4370156253705915,2411,1246,4074,20.437095321617008,3.872311316759687,577.9924420448309
24,24,0.7128205128205128,0.6893394375408763,599.7361095163739,2.4368826642315944,2388,1264,4127,21.062433693345906,4.12722393555114,574.5464518874772
25,25,0.7044289044289044,0.7008603573792189,589.8945943187374,2.420644423585369,2405,1256,4106,19.68484205172523,3.6737807114345,566.5359715555783
26,26,0.696037296037296,0.6932350971198928,605.6894335911513,2.482780810086316,2426,1274,4111,18.70529105627726,4.04572546035432,582.9384170745226
27,27,0.6941724941724942,0.6877098723975823,592.1511588260033,2.5131679293346,2383,1283,4113,20.735945009914442,3.5966673410527483,567.8185464750367
28,28,0.7118881118881119,0.6908971840209561,589.0128187426411,2.4147865997111913,2386,1256,4107,19.67339213990304,3.979129611239484,565.3602969915004
29,29,0.7044289044289044,0.6949040370615487,614.5927457804189,2.4126695958810864,2430,1280,4132,18.184314663395504,3.1827309413314238,593.22570017569
30,30,0.6899766899766899,0.6925675675675675,602.3802524140698,2.348773159444415,2433,1260,4099,16.026392273414892,3.7315404653059434,582.6223196753458
31,31,0.6764568764568765,0.7160578911095796,603.7721797600178,2.419210394490677,2439,1274,4111,17.63005209003721,3.6983431750207663,582.4437844949592
32,32,0.7146853146853147,0.7045009784735812,600.8852393734109,2.4134014671995434,2415,1281,4113,18.709505322409736,3.325138158189457,578.8505958928117
